num_sujet,age,genre,freq_vib_illusion,a_euFBvisuel_pendule,a_euFBvisuel_mainSeule,a_euFBvisuel_mainIllusion,a_euFBvibration_mainIllusion,2FB_testes,3FBtestes,nbDeFBVibration,nbTotalEssais_FBvisuel_mainSeule,nbTotalEssais_FBvisuel_pendule,nbTotalEssais_FBvisuel_mainIllusion,nbTotal_FBvisuel_pendule,nbTotal_FBvisuel_mainSeule,nbTotal_FBvibration_mainIllusion,nbTotal_FBvisuel_mainIllusion,meanMvt_mainSeule,meanMvt_pendule,meanMvt_mainIllusion,seuilERD,medianBeta_mainSeule,medianBeta_pendule,medianBeta_mainIllusion,agencySelfMoy_mainSeule,agencySelfMoy_pendule,agencySelfMoy_mainIllusion,agencyOtherMoy_mainSeule,agencyOtherMoy_pendule,agencyOtherMoy_mainIllusion,embodimentMoy_mainSeule,embodimentMoy_mainIllusion,successMoy_mainSeule,successMoy_pendule,successMoy_mainIllusion,difficultyMoy_mainSeule,difficultyMoy_pendule,difficultyMoy_mainIllusion,satisfactionMoy_mainSeule,satisfactionMoy_pendule,satisfactionMoy_mainIllusion,mainSeule_easiness,mainSeule_learnability,pendule_easiness,pendule_learnability,mainIllusion_easiness,mainIllusion_learnability,logPendule,logMainSeule,logMainIllusion
0,19,F,50,1,1,1,1,TRUE,TRUE,2,8,9,9,106,56,32,136,0.1208125,0.36,0.6290625,21,19.425,17.885,18.55,3.5,6.5,8.5,4.5,2.5,0,3.5,8.5,2.5,5.5,7.5,8,5,2.5,5,7.5,9,7,5,9,8,9,9,-0.06973035023,-0.03385826726,-0.0538753808
2,22,M,50,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,2.7,4.92,05.01000,5.18,1,1.5,2.5,2.5,2,4,1.5,4,1,0.5,1.5,6.5,6,6.5,5,6,5,2,1,2,1,2,2,0.2684739618,0.2606013386,0.2829659957
3,21,M,50,1,1,1,1,TRUE,TRUE,2,9,7,9,56,74,32,103,0.3368125,0.2644375,0.543875,21.25,21.265,25.71,17.080000,5.5,6,6,2.5,2,3,3.5,2,5.5,4,7,6.5,7,3,6.5,5,6,6,8,6,7,5,6,0.08274314228,0.0003064525105,-0.09487106802
5,35,F,50,1,1,1,1,TRUE,TRUE,1,7,4,6,65,103,20,86,0.4915625,0.2976875,0.524125,20,13.98,25.41,11.615,3.5,3.5,3.5,8,5,7,6,7.5,3.5,0,3,6.5,7.5,4.5,8,9,8,7,6,4,1,7,5,0.1039746694,-0.1555228243,-0.2360107815
6,28,M,50,1,1,1,1,TRUE,TRUE,2,7,9,6,147,107,8,56,0.434125,0.694625,0.1320625,35,24.935,18.995,38.73,8.5,7,5.5,1,2.5,0,1.5,1.5,8.5,8,5,5,4,7,8,8,8,8,8,8,8,7,4,-0.2654287465,-0.1472586718,0.0439794528
7,31,F,35,1,1,1,0,TRUE,TRUE,1,6,9,1,159,66,0,6,0.1423125,0.818375,0.00475,35,33.215,17.02000,44.625,6,6,4,4,4.5,1,6,4,6,6,5,4.5,5.5,7,5,5.5,5,8,8,7,7,7,7,-0.3131084886,-0.02273378757,0.1055101848
8,30,F,35,1,1,1,1,TRUE,FALSE,2,5,9,7,98,43,20,67,0.0806875,0.2891875,0.196,32,34.335,25.805,29.875,1.5,1,1,1.5,5.5,1,1.5,1,4,4.5,4.5,4,5.5,4.5,5,7,6,6,6,3,3,8,8,-0.09344611491,0.03058707341,-0.02984206436
9,29,M,35,1,1,1,0,TRUE,TRUE,1,9,8,3,77,57,1,18,0.19925,0.2436875,0.0358125,30,31.87,28.405,89.105,9,8,2,2,1,4,8,1,8,9,0,3,2,9,5,8,5,7,8,9,8,1,1,-0.02372646112,0.02626080862,0.4727808199
10,50,M,35,1,1,1,0,TRUE,FALSE,0,8,8,9,51,69,0,84,0.14725,0.11825,0.2288125,35,32.115,35.3,30.205,7,5,7.5,1,0,0,5.5,7.5,5.5,3,7.5,8,7,6,7,7,7,7,7,5,7,7,8,0.003706661222,-0.03736011799,-0.06398920428
11,25,F,50,0,0,0,1,TRUE,FALSE,1,0,0,0,1,0,8,0,0.0000625,0.001625,0,32,94.565,70.735,133.635,3,1,2,2,2,2.5,1,2.5,1.5,1.5,1,8.5,8,8.5,5,5,5,4,3,3,2,3,3,0.3444843795,0.4705804486,0.6207702397
12,22,M,35,1,1,1,1,FALSE,FALSE,2,9,2,6,11,42,15,29,0.0733125,0.0145,0.0559375,8.5,8.73,10.18,9.245,4,2.5,4,6.5,6,6,3.5,4.5,3.5,4,6,6.5,6,3.5,5,5,5,8,8,8,8,8,8,0.07832885235,0.01159531819,0.03648798985
13,25,F,35,1,1,1,1,TRUE,TRUE,2,8,5,3,26,52,3,22,0.121625,0.045875,0.0530625,20.5,21.615,27.85,25.115,5.5,5,4,1,0.5,0,1.5,0.5,1.5,3,2.5,10,10,9,4.5,1,1,4,4,1,1,5,5,0.1330713383,0.02300137885,0.08817932136
14,32,F,30,1,1,1,1,TRUE,TRUE,2,9,4,8,17,53,9,44,0.0988125,0.025,0.0723125,10,9.92,11.415,10.42,7.5,8,8,0,0,0,8,2.5,2,0,2,9,10,9.5,0,0,0,2,2,1,1,1,2,0.05747591583,-0.003488327846,0.01786771896
15,23,M,35,0,1,0,1,TRUE,TRUE,1,9,0,0,0,148,17,1,0.801875,0,0.0005625,22,10.555,36.265,34.055,7,0,0,5,0,10,5,0,6,0,0,3,10,10,7,4.5,5.5,8,4,6,3,5,1,0.217065001,-0.3189644432,0.1897582037
16,22,M,45,1,1,1,1,FALSE,FALSE,2,9,9,9,86,153,40,86,0.749375,0.2419375,0.2293125,15,8.13,12.75,13,8.5,2.5,3,1,5.5,3,6.5,2,8.5,2,6.5,1.5,8.5,4.5,5.5,5,5,10,10,2,4,8,9,-0.07058107429,-0.2660007135,-0.06214790673
